"index_match","call_type","bin_choice"
559,"other","other"
560,"other","other"
561,"contact - ladder multiple","contact"
562,"contact - ladder multiple","contact"
563,"other","other"
564,"other","other"
565,"other","other"
566,"contact - ladder middle","contact"
567,"contact - typical","contact"
568,"contact - mix alarm","contact"
569,"contact - mix alarm","contact"
570,"other","other"
571,"contact - ladder start","contact"
572,"contact - ladder middle","contact"
573,"other","other"
574,"contact - mix alarm","contact"
575,"contact - ladder multiple","contact"
576,"other","other"
577,"other","other"
578,"other","other"
579,"contact - ladder start","contact"
580,"contact - typical","contact"
581,"other","other"
582,"other","other"
583,"other","other"
584,"other","other"
585,"contact - typical","contact"
586,"contact - typical","contact"
587,"other","other"
588,"other","other"
589,"other","other"
590,"other","other"
591,"contact - mix alarm","contact"
592,"other","other"
593,"contact - typical","contact"
594,"other","other"
595,"other","other"
596,"other","other"
597,"contact - typical","contact"
598,"other","other"
599,"other","other"
600,"other","other"
601,"other","other"
602,"contact - typical","contact"
603,"other","other"
604,"contact - ladder start","contact"
605,"other","other"
606,"contact - typical","contact"
607,"contact - mix alarm","contact"
608,"contact - mix alarm","contact"
609,"contact - typical","contact"
610,"other","other"
611,"other","other"
612,"other","other"
613,"contact - typical","contact"
614,"contact - ladder start","contact"
615,"other","other"
616,"other","other"
617,"other","other"
618,"contact - four triangles","contact"
619,"other","other"
620,"contact - typical","contact"
621,"contact - four triangles","contact"
622,"other","other"
623,"contact - mix alarm","contact"
624,"other","other"
625,"contact - mix alarm","contact"
626,"contact - ladder start","contact"
627,"contact - ladder start","contact"
628,"contact - typical","contact"
629,"contact - mix alarm","contact"
630,"contact - ladder multiple","contact"
631,"other","other"
632,"other","other"
633,"contact - mix alarm","contact"
634,"other","other"
635,"other","other"
636,"other","other"
637,"contact - ladder multiple","contact"
638,"other","other"
639,"other","other"
640,"other","other"
641,"other","other"
642,"contact - ladder start","contact"
643,"contact - ladder start","contact"
644,"other","other"
645,"other","other"
646,"other","other"
647,"contact - mix alarm","contact"
